公司,年/月,季別,合併,月份,幣別,資產總額,營業收入淨額
1201 味全,2023/12,4,Y,12,NTD,"18,027,715","21,476,354"
1201 味全,2023/09,3,Y,9,NTD,"18,933,903","15,990,330"
1201 味全,2023/06,2,Y,6,NTD,"19,141,303","10,033,918"
1201 味全,2023/03,1,Y,3,NTD,"18,753,145","4,789,271"
,,,,,,,
公司,年/月,季別,單季(Q)/單半年(H),月份,幣別,資產總額,營業收入淨額
1201 味全,2023/12,4,Q,12,NTD,"18,027,715","5,486,024"
1201 味全,2023/09,3,Q,9,NTD,"18,933,903","5,956,412"
1201 味全,2023/06,2,Q,6,NTD,"19,141,303","5,244,647"
1201 味全,2023/03,1,Q,3,NTD,"18,753,145","4,789,271"
,,,,,,,
公司,年/月,季別,合併,月份,幣別,資產總額,營業收入淨額
1203 味王,2023/12,4,Y,12,NTD,"10,112,427","6,403,713"
1203 味王,2023/09,3,Y,9,NTD,"10,133,726","4,731,566"
1203 味王,2023/06,2,Y,6,NTD,"9,810,859","3,112,428"
1203 味王,2023/03,1,Y,3,NTD,"10,118,735","1,576,031"
,,,,,,,
公司,年/月,季別,單季(Q)/單半年(H),月份,幣別,資產總額,營業收入淨額
1203 味王,2023/12,4,Q,12,NTD,"10,112,427","1,672,147"
1203 味王,2023/09,3,Q,9,NTD,"10,133,726","1,619,138"
1203 味王,2023/06,2,Q,6,NTD,"9,810,859","1,536,397"
1203 味王,2023/03,1,Q,3,NTD,"10,118,735","1,576,031"
